classified,count,hex_x,title,body,msg,system,time,hex_y,planned work,error,test,pre-launch,police,accident,unplanned service change,contingency,planned service change,retraction,fire,buses replace trains,unauthorized vehicle,end disruption,flooding,power outage,signal,government,traffic,road conditions,high volume,service enhancement,station rehab,maintenance,equipment problem,unauthorized person,event,sick customer,update,non service,construction,weather,other agencies,other
planned service change,199057,30991,N Line _研 Weeknight Planned Service Changes,"         Beginning 8:30 PM,  Mon to Thu,  Nov 17 _研 20 Ditmars Blvd-bound N trains run local from 59 St,  Brooklyn to DeKalb Av.  10 PM to 5 AM,  Mon to Fri,  Nov 17 _研 21 No N trains in Manhattan _研 N trains run in Queens and Brooklyn only. N service operates in two sections: 1. Between Ditmars Blvd and Queensboro Plaza. 2. Between Coney Island and Court St R station. Travel alternatives: _癣 Take the 7 for service between Queens and Manhattan. _癣 Take the 2,  4,  D,  F,  and Q between Manhattan and Brooklyn. _癣 Use nearby stations on the 8 Av A/E,  7 Av 1/2,  6 Av D/F/Q,  and Lexington Av 4/6 lines instead. Make key transfers between services at: Queensboro Plaza 7/N Court St/Borough Hall 2/4 Jay St-MetroTech A/F/N Atlantic Av-Barclays Ctr 2/4/D/N/Q  This service change affects one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.info link                           11/14/14 4:17 PM             NYC           ","Beginning 8:30 PM,  Mon to Thu,  Nov 17 _研 20 Ditmars Blvd-bound N trains run local from 59 St,  Brooklyn to DeKalb Av.  10 PM to 5 AM,  Mon to Fri,  Nov 17 _研 21 No N trains in Manhattan _研 N trains run in Queens and Brooklyn only. N service operates in two sections: 1. Between Ditmars Blvd and Queensboro Plaza. 2. Between Coney Island and Court St R station. Travel alternatives: _癣 Take the 7 for service between Queens and Manhattan. _癣 Take the 2,  4,  D,  F,  and Q between Manhattan and Brooklyn. _癣 Use nearby stations on the 8 Av A/E,  7 Av 1/2,  6 Av D/F/Q,  and Lexington Av 4/6 lines instead. Make key transfers between services at: Queensboro Plaza 7/N Court St/Borough Hall 2/4 Jay St-MetroTech A/F/N Atlantic Av-Barclays Ctr 2/4/D/N/Q  This service change affects one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.",NYC,11/14/14 16:17,30991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
planned service change,442235,6bf7b,M Line - Weekday and Weekend Planned Service Change,"         All times until September 1,  2017No M trains between Metropolitan Av and Myrtle Av,  due to viaduct reconstruction.Free shuttle buses provide alternate service.M service operates between 71 Av and Myrtle Av,  and via the J to/from Broadway Junction,  days/evenings*.Free shuttle buses operate along three routes:1. Local between Myrtle Av and Fresh Pond Rd,  making all M stops.2. Local between Myrtle Av and Metropolitan Av,  making all M stops (Fresh Pond Rd,  evenings/nights only).3. Express between Flushing Av J and Metropolitan Av,  stopping at Jefferson St L and Fresh Pond Rd at Metropolitan Av. Transfer between trains and free shuttle buses at Myrtle Av J/M/Z,  Flushing Av J/M,  Myrtle-Wyckoff Avs L and Jefferson St L.*Sat and Sun (days only): M service operates between Delancey-Essex Sts and Broadway Junction.Note: J/M/Z trains run local in both directions between Broadway Junction and Marcy Av (Z weekdays only).                          7/7/17 5:37 PM             NYC           ","All times until September 1,  2017No M trains between Metropolitan Av and Myrtle Av,  due to viaduct reconstruction.Free shuttle buses provide alternate service.M service operates between 71 Av and Myrtle Av,  and via the J to/from Broadway Junction,  days/evenings*.Free shuttle buses operate along three routes:1. Local between Myrtle Av and Fresh Pond Rd,  making all M stops.2. Local between Myrtle Av and Metropolitan Av,  making all M stops (Fresh Pond Rd,  evenings/nights only).3. Express between Flushing Av J and Metropolitan Av,  stopping at Jefferson St L and Fresh Pond Rd at Metropolitan Av. Transfer between trains and free shuttle buses at Myrtle Av J/M/Z,  Flushing Av J/M,  Myrtle-Wyckoff Avs L and Jefferson St L.*Sat and Sun (days only): M service operates between Delancey-Essex Sts and Broadway Junction.Note: J/M/Z trains run local in both directions between Broadway Junction and Marcy Av (Z weekdays only).",NYC,7/7/17 17:37,6bf7b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
planned service change,440772,6b9c4,J Line - Weekday and Weekend Planned Service Changes,"         All times until Summer 2017Manhattan-bound J trains skip 121 St and 104 St,  due to station rehabilitation. To these stations,  use the nearby 111 St or Woodhaven Blvd stations instead. Or,  take the Manhattan-bound J to 111 St or Woodhaven Blvd and transfer to a Jamaica Center-bound J. From these stations,  use the nearby 111 St or Woodhaven Blvd stations instead. Or,  take the Q56 bus and transfer to/from J service at nearby 111 St or Woodhaven Blvd.Note: Jamaica Center-bound J trains skip 104 St and 121 St from 5:30 PM to 6:30 PM,  weekdays; take a Q56 bus or the Z instead.                          6/30/17 4:14 PM             NYC           ","All times until Summer 2017Manhattan-bound J trains skip 121 St and 104 St,  due to station rehabilitation. To these stations,  use the nearby 111 St or Woodhaven Blvd stations instead. Or,  take the Manhattan-bound J to 111 St or Woodhaven Blvd and transfer to a Jamaica Center-bound J. From these stations,  use the nearby 111 St or Woodhaven Blvd stations instead. Or,  take the Q56 bus and transfer to/from J service at nearby 111 St or Woodhaven Blvd.Note: Jamaica Center-bound J trains skip 104 St and 121 St from 5:30 PM to 6:30 PM,  weekdays; take a Q56 bus or the Z instead.",NYC,6/30/17 16:14,6b9c4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
planned service change,325988,4f964,N Line - Weekend and Weekday Planned Service Changes,"         WEEKEND11:30 PM Fri to 5 AM Mon,  May 20 - 23N trains are rerouted via the D in both directions between Stillwell Av and 36 St.Free shuttle buses and R trains provide alternate service.Free shuttle buses make all N stops between Stillwell Av and 36 St. Transfer between shuttle buses and N trains at 36 St,  62 St-New Utrecht Av,  or Stillwell Av. Transfer between R trains and shuttle buses at 59 St.NIGHTS11:45 PM to 6:30 AM,  Fri to Sun,  May 20 - 2211:45 PM Sun to 5 AM Mon,  May 22 - 23Coney Island-bound N trains run express from Atlantic Av-Barclays Ctr to 36 St.All times until Spring 2017Astoria-bound N trains skip 86 St,  Avenue U,  Kings Hwy,  20 Av,  18 Av,  New Utrecht Av,  and Fort Hamilton Pkwy. N trains stop at Bay Pkwy and 8 Av. To 86 St,  Avenue U,  and Kings Hwy,  take the Astoria-bound N to Bay Pkwy and transfer to a Coney Island-bound N. To 20 Av,  18 Av,  New Utrecht Av,  and Fort Hamilton Pkwy,  take the Astoria-bound N to 8 Av and transfer to a Coney Island-bound N. From these stations,  take a Coney Island-bound N to Bay Pkwy or Stillwell Av and transfer to an Astoria-bound N. Or,  from New Utrecht Av-62 St,  take the D instead. Transfer to an Astoria-bound N at 36 St.                          5/19/16 4:22 PM             NYC           ","WEEKEND11:30 PM Fri to 5 AM Mon,  May 20 - 23N trains are rerouted via the D in both directions between Stillwell Av and 36 St.Free shuttle buses and R trains provide alternate service.Free shuttle buses make all N stops between Stillwell Av and 36 St. Transfer between shuttle buses and N trains at 36 St,  62 St-New Utrecht Av,  or Stillwell Av. Transfer between R trains and shuttle buses at 59 St.NIGHTS11:45 PM to 6:30 AM,  Fri to Sun,  May 20 - 2211:45 PM Sun to 5 AM Mon,  May 22 - 23Coney Island-bound N trains run express from Atlantic Av-Barclays Ctr to 36 St.All times until Spring 2017Astoria-bound N trains skip 86 St,  Avenue U,  Kings Hwy,  20 Av,  18 Av,  New Utrecht Av,  and Fort Hamilton Pkwy. N trains stop at Bay Pkwy and 8 Av. To 86 St,  Avenue U,  and Kings Hwy,  take the Astoria-bound N to Bay Pkwy and transfer to a Coney Island-bound N. To 20 Av,  18 Av,  New Utrecht Av,  and Fort Hamilton Pkwy,  take the Astoria-bound N to 8 Av and transfer to a Coney Island-bound N. From these stations,  take a Coney Island-bound N to Bay Pkwy or Stillwell Av and transfer to an Astoria-bound N. Or,  from New Utrecht Av-62 St,  take the D instead. Transfer to an Astoria-bound N at 36 St.",NYC,5/19/16 16:22,4f964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
planned service change,287015,46127,F Line - Weekend and Weekday Planned Service Changes,"         WEEKEND 10:15 PM Fri to 5 AM Mon,  Nov 27 - 30 Coney Island-bound F trains are rerouted via the M from Roosevelt Av to 47-50 Sts.  To 21 St-Queensbridge,  Roosevelt Island,  Lexington Av/63 St,  and 57 St,  take the Coney Island-bound F to 47-50 Sts and transfer to a Jamaica-bound F.  From 21 St-Queensbridge and Roosevelt Island,  take a Jamaica-bound F to Roosevelt Av and transfer to a Coney Island-bound F.  From Lexington Av/63 St,  use the nearby 59 St 4/6 station for downtown local service to 51 St and transfer to a Coney Island-bound F at the E/M platform.  From 57 St,  use the nearby 57 St-7 Av N/Q/R station for downtown service to 34 St-Herald Sq,  where Coney Island-bound F service is available.  This service change affects one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.info link in this email and read station                          11/25/15 1:25 PM             NYC           ","WEEKEND 10:15 PM Fri to 5 AM Mon,  Nov 27 - 30 Coney Island-bound F trains are rerouted via the M from Roosevelt Av to 47-50 Sts.  To 21 St-Queensbridge,  Roosevelt Island,  Lexington Av/63 St,  and 57 St,  take the Coney Island-bound F to 47-50 Sts and transfer to a Jamaica-bound F.  From 21 St-Queensbridge and Roosevelt Island,  take a Jamaica-bound F to Roosevelt Av and transfer to a Coney Island-bound F.  From Lexington Av/63 St,  use the nearby 59 St 4/6 station for downtown local service to 51 St and transfer to a Coney Island-bound F at the E/M platform.  From 57 St,  use the nearby 57 St-7 Av N/Q/R station for downtown service to 34 St-Herald Sq,  where Coney Island-bound F service is available.  This service change affects one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.",NYC,11/25/15 13:25,46127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
planned service change,249708,3cf6c,3 Line _研 Weekend and Weekday Planned Service Changes,"         WEEKEND 6:30 AM to 12 midnight,  Sunday,  Jul 5 3 service runs local in both directions between Chambers St and 34 St-Penn Station.  All times until late September 2015 3 service skips Rockaway Av and Van Siclen Av in both directions.  To/from Rockaway Av,  use shuttle buses to/from the Saratoga Av station at all times. B60 customers can transfer to/from shuttle buses at Rockaway Av.  To/from Van Siclen Av,  use shuttle buses to/from the Pennsylvania Av station at all times. Note: Transfer is available with MetroCard.                          7/2/15 2:54 PM             NYC           ","WEEKEND 6:30 AM to 12 midnight,  Sunday,  Jul 5 3 service runs local in both directions between Chambers St and 34 St-Penn Station.  All times until late September 2015 3 service skips Rockaway Av and Van Siclen Av in both directions.  To/from Rockaway Av,  use shuttle buses to/from the Saratoga Av station at all times. B60 customers can transfer to/from shuttle buses at Rockaway Av.  To/from Van Siclen Av,  use shuttle buses to/from the Pennsylvania Av station at all times. Note: Transfer is available with MetroCard.",NYC,7/2/15 14:54,3cf6c,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
planned service change,357735,57567,R Line - Weekend Planned Service Changes,"         WEEKEND6:30 AM to 12 midnight,  Sat and Sun,  Sep 17 - 18Manhattan-bound R trains run express from 71 Av to Queens Plaza.NIGHTS11:45 PM to 6:30 AM,  Fri to Sun,  Sep 16 - 1811:45 PM Sun to 5 AM Mon,  Sep 18 - 1936 St-bound R trains stop at 53 St and 45 St.                          9/15/16 4:16 PM             NYC           ","WEEKEND6:30 AM to 12 midnight,  Sat and Sun,  Sep 17 - 18Manhattan-bound R trains run express from 71 Av to Queens Plaza.NIGHTS11:45 PM to 6:30 AM,  Fri to Sun,  Sep 16 - 1811:45 PM Sun to 5 AM Mon,  Sep 18 - 1936 St-bound R trains stop at 53 St and 45 St.",NYC,9/15/16 16:16,57567,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
planned service change,442240,6bf80,S Line - Weekday and Weeknight Planned Service Changes,"         DAYS6:30 AM to 9:30 AM,  Mon to Fri,  Jul 10 -143:30 PM to 8 PM,  Mon to Fri,  Jul 10 - 14Expect platform and train crowding during rush hours,  due to sidewalk reconstruction. Use the 7 between Grand Central-42 St and Times Sq-42 St. Customers at Times Sq-42 St who usually take the shuttle to the 4/5/6 can take the N/R/W instead to 14 St-Union Sq or Lexington Av-59 St.NIGHTS12:01 AM to 6 AM,  Tue to Fri,  Jul 11 - 1442 Street S Shuttle operates overnight,  due to signal modernization.                          7/7/17 5:39 PM             NYC           ","DAYS6:30 AM to 9:30 AM,  Mon to Fri,  Jul 10 -143:30 PM to 8 PM,  Mon to Fri,  Jul 10 - 14Expect platform and train crowding during rush hours,  due to sidewalk reconstruction. Use the 7 between Grand Central-42 St and Times Sq-42 St. Customers at Times Sq-42 St who usually take the shuttle to the 4/5/6 can take the N/R/W instead to 14 St-Union Sq or Lexington Av-59 St.NIGHTS12:01 AM to 6 AM,  Tue to Fri,  Jul 11 - 1442 Street S Shuttle operates overnight,  due to signal modernization.",NYC,7/7/17 17:39,6bf80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
planned service change,307404,4b0cc,1 Line - Weekday Planned Service Change,"         10:45 AM to 3 PM,  Wed to Fri,  Mar 2 - 4 South Ferry-bound 1 service runs express from 242 St to 215 St.  This service change affects one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.info link in this email and read station signs.                          2/26/16 4:24 PM             NYC           ","10:45 AM to 3 PM,  Wed to Fri,  Mar 2 - 4 South Ferry-bound 1 service runs express from 242 St to 215 St.  This service change affects one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.info link in this email and read station signs.",NYC,2/26/16 16:24,4b0cc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
planned service change,224257,36c01,6 Line _研 Weekday and Weeknight Planned Service Changes,"         NIGHTS 10 PM to 5 AM,  Mon to Fri,  Mar 9 _研 13 6 service skips 116 St,  110 St,  103 St,  96 St,  77 St,  68 St,  and 51 St. Trains stop at 86 St and 59 St. _癣 Use Special M101 LIMITED buses for local service between 125 St and Grand Central-42 St. _癣 Downtown buses run on Lexington Av. _癣 Uptown buses run on 3 Av. _癣 Transfer between Special M101 LIMITED buses and 6 service at 125 St,  86 St,  59 St,  or Grand Central-42 St.  DAYS 10:30 AM to 3 PM,  Mon to Fri,  Mar 9 _研 13 The last stop for some 6 service headed toward Pelham Bay Park is 3 Av-138 St. _癣 To continue your trip,  transfer at 3 Av-138 St to a Pelham Bay Park-bound 6.  These service changes affect one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.info link in this email and read station signs.  10:15 AM to 3 PM,  Mon to Fri,  Mar 9 _研 13 6 express service runs local in b                          3/6/15 4:18 PM             NYC           ","NIGHTS 10 PM to 5 AM,  Mon to Fri,  Mar 9 _研 13 6 service skips 116 St,  110 St,  103 St,  96 St,  77 St,  68 St,  and 51 St. Trains stop at 86 St and 59 St. _癣 Use Special M101 LIMITED buses for local service between 125 St and Grand Central-42 St. _癣 Downtown buses run on Lexington Av. _癣 Uptown buses run on 3 Av. _癣 Transfer between Special M101 LIMITED buses and 6 service at 125 St,  86 St,  59 St,  or Grand Central-42 St.  DAYS 10:30 AM to 3 PM,  Mon to Fri,  Mar 9 _研 13 The last stop for some 6 service headed toward Pelham Bay Park is 3 Av-138 St. _癣 To continue your trip,  transfer at 3 Av-138 St to a Pelham Bay Park-bound 6.  These service changes affect one or more ADA accessible stations. Please call 511 for help with planning your trip. If you are deaf or hard of hearing,  use your preferred relay service provider or the free 711 relay. For more information,  click on the mta.info link in this email and read station signs.",NYC,3/6/15 16:18,36c01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
